2,2,1.54756
2,2.4,1.37484
2,2.8,1.22917
2,3.2,1.10761
2,3.6,1.00584
2,4,0.919972
2,4.4,0.846836
2,4.8,0.783958
2,5.2,0.729418
2,5.6,0.681723
2,6,0.639698
2,6.4,0.602418
2,6.8,0.56914
2,7.2,0.539266
2,7.6,0.51231
2,8,0.487872
2,8.4,0.465619
2,8.8,0.445276
2,9.2,0.426611
2,9.6,0.409426
2.4,2,1.37484
2.4,2.4,1.25189
2.4,2.8,1.14031
2.4,3.2,1.04196
2.4,3.6,0.956262
2.4,4,0.881742
2.4,4.4,0.816804
2.4,4.8,0.759974
2.4,5.2,0.709983
2.4,5.6,0.665768
2.4,6,0.62645
2.4,6.4,0.591302
2.4,6.8,0.559727
2.4,7.2,0.531228
2.4,7.6,0.505394
2.4,8,0.481879
2.4,8.4,0.460394
2.4,8.8,0.440694
2.4,9.2,0.422571
2.4,9.6,0.405847
2.8,2,1.22917
2.8,2.4,1.14031
2.8,2.8,1.05504
2.8,3.2,0.976332
2.8,3.6,0.90514
2.8,4,0.841391
2.8,4.4,0.784531
2.8,4.8,0.733833
2.8,5.2,0.68856
2.8,5.6,0.64802
2.8,6,0.6116
2.8,6.4,0.578765
2.8,6.8,0.549054
2.8,7.2,0.522073
2.8,7.6,0.497487
2.8,8,0.475006
2.8,8.4,0.454384
2.8,8.8,0.43541
2.8,9.2,0.417902
2.8,9.6,0.401702
3.2,2,1.10761
3.2,2.4,1.04196
3.2,2.8,0.976332
3.2,3.2,0.913416
3.2,3.6,0.854642
3.2,4,0.800572
3.2,4.4,0.751253
3.2,4.8,0.706461
3.2,5.2,0.665843
3.2,5.6,0.629004
3.2,6,0.595551
3.2,6.4,0.565116
3.2,6.8,0.537363
3.2,7.2,0.511992
3.2,7.6,0.488739
3.2,8,0.467372
3.2,8.4,0.447686
3.2,8.8,0.429504
3.2,9.2,0.412669
3.2,9.6,0.397045
3.6,2,1.00584
3.6,2.4,0.956262
3.6,2.8,0.90514
3.6,3.2,0.854642
3.6,3.6,0.806164
3.6,4,0.760484
3.6,4.4,0.71795
3.6,4.8,0.678633
3.6,5.2,0.642443
3.6,5.6,0.609199
3.6,6,0.578681
3.6,6.4,0.550654
3.6,6.8,0.524891
3.6,7.2,0.501174
3.6,7.6,0.479305
